Date,Description,Type,Amount,Balance
2025-08-01,Salary Credit,Credit,2500,4500.0
2025-08-03,Subscription Fee,Debit,300,4200.0
2025-08-04,Cash Deposit,Credit,75,4275.0
2025-08-06,Grocery Purchase,Debit,100,4175.0
2025-08-08,Utility Bill,Debit,50,4125.0
2025-08-09,Cash Deposit,Credit,100,4225.0
2025-08-11,Utility Bill,Debit,500,3725.0
2025-08-12,Cash Deposit,Credit,75,3800.0
2025-08-14,Rent Payment,Debit,300,3500.0
2025-08-17,Cash Deposit,Credit,75,3500.0
2025-08-17,Uber Ride,Debit,75,3425.0
2025-08-21,Uber Ride,Debit,500,3000.0
2025-08-24,Subscription Fee,Debit,500,2500.0
2025-08-25,Grocery Purchase,Debit,200,2300.0
2025-08-26,Rent Payment,Debit,300,2000.0
2025-09-01,Salary Credit,Credit,2500,4500.0
2025-09-07,Cash Deposit,Credit,50,4550.0
2025-09-08,Grocery Purchase,Debit,200,4350.0
2025-09-10,Subscription Fee,Debit,75,4275.0
2025-09-11,Utility Bill,Debit,150,4125.0
2025-09-14,Utility Bill,Debit,200,3925.0
2025-09-16,Cash Deposit,Credit,50,3975.0
2025-09-17,Cash Deposit,Credit,150,4125.0
2025-09-20,Grocery Purchase,Debit,150,3975.0
2025-09-21,Utility Bill,Debit,75,3900.0
2025-09-23,Dining,Debit,20,3880.0
2025-09-25,Grocery Purchase,Debit,20,3860.0
2025-09-26,Rent Payment,Debit,150,3710.0
2025-10-01,Salary Credit,Credit,2500,6210.0
2025-10-02,Salary Credit,Credit,2500,8710.0
2025-10-02,Utility Bill,Debit,75,8635.0
2025-10-03,Rent Payment,Debit,50,8585.0
2025-10-09,Utility Bill,Debit,500,8085.0
2025-10-10,Subscription Fee,Debit,100,7985.0
2025-10-11,Dining,Debit,500,7485.0
2025-10-18,Online Shopping,Debit,35,7450.0
2025-10-24,Uber Ride,Debit,50,7400.0
2025-10-25,Uber Ride,Debit,150,7250.0
2025-10-29,Utility Bill,Debit,50,7200.0
2025-10-29,Cash Deposit,Credit,50,7250.0
2025-10-30,Uber Ride,Debit,100,7150.0
2025-10-31,Subscription Fee,Debit,300,6850.0
